0 2.2944524130522792E-003
1 1.9413941469672426E-003
2 1.7779386574430075E-003
3 1.8138511561925110E-003
4 1.9055176267095211E-003
5 1.8604846826874527E-003
6 2.0424596376125790E-003
7 2.2024299919466417E-003
8 2.4883036683706447E-003
9 2.5303334364453461E-003
10 2.8855662684460870E-003
11 3.0987672159395832E-003
12 3.3611663166515232E-003
13 3.8181324549095516E-003
14 4.4158638869408679E-003
15 4.8775661334786030E-003
16 4.8515349077311292E-003
17 5.0383904534246626E-003
18 4.6326495932176009E-003
19 4.1352076679545147E-003
20 3.6139007938004409E-003
21 2.9550490613443189E-003
22 2.7278984224160187E-003
23 2.3372072585340622E-003
24 2.1653361894226385E-003
25 1.8020833364355521E-003
26 1.6867763752887754E-003
27 1.5232672534898433E-003
28 1.2517757514098925E-003
29 1.1406043388123603E-003
30 8.7022917229394846E-004
31 7.3326344129335933E-004
32 6.0688032186412451E-004
33 4.5634255271662365E-004
34 3.1447305601103024E-004
35 2.4416763573159746E-004
36 2.0609362615161018E-004
37 1.1975626635259457E-004
38 1.0973296639627401E-004
39 1.0519646385752311E-004
40 6.1588216664903189E-005
41 5.3631547148940449E-005
42 3.4653842602775518E-005
43 1.9025144741227919E-005
44 4.4653422461564567E-006
45 1.1163355615391142E-006
46 2.2326711230782284E-006
47 0.0000000000000000
