 0.1       0.0000000000000000E+00
 0.2       0.8699965784431196E-03
 0.2       0.1781902161158499E-02
 0.4       0.2272983183628147E-02
 0.5       0.2539835303547981E-02
 0.6       0.3147052174285183E-02
 0.6       0.3932771607192365E-02
 0.8       0.4634468970669953E-02
 0.8       0.5564824755460152E-02
 0.9       0.5221064860216591E-02
 1.0       0.6401060998073482E-02
 1.2       0.7630025575072595E-02
 1.5       0.8257751170661232E-02
 1.7       0.9578107187302150E-02
 1.9       0.1050423751421463E-01
 2.1       0.1027871916122187E-01
 2.3       0.1088444252063105E-01
 2.5       0.1160969687273397E-01
 2.7       0.1334767229616828E-01
 2.9       0.1244943029021604E-01
 3.1       0.1343478341869645E-01
 3.3       0.1463153218641506E-01
 3.5       0.1576734651044141E-01
 3.7       0.1484590077839808E-01
 3.9       0.1417679040066110E-01
 4.1       0.1502631904357746E-01
 4.3       0.1509424783700719E-01
 4.5       0.1504218650075175E-01
 4.6       0.1553656063720505E-01
 4.8       0.1566861654819748E-01
 5.0       0.1388208306107643E-01
 5.2       0.1549072457835340E-01
 5.4       0.1524743329107355E-01
 5.6       0.1487629297339711E-01
 5.8       0.1549483327252136E-01
 6.0       0.1527714117304690E-01
 6.1       0.1638823220359669E-01
 6.2       0.1788153167428522E-01
 6.3       0.1718669611077074E-01
 6.4       0.1255694020987013E-01
 6.5       0.9876096562928861E-02
 6.7       0.9076026986547537E-02
 6.9       0.6006389105037835E-02
 7.1       0.5204947572590895E-02
 7.3       0.3135592477933187E-02
 7.5       0.2867450907570406E-02
 7.7       0.2647141371570703E-02
 7.9       0.2413526955686057E-02
 8.1       0.1841529240481948E-02
 8.3       0.8646308717716177E-03
 8.5       0.1077979159329259E-02
 8.7       0.2680905551415130E-03
 8.9       0.3537081663416663E-03
 9.1       0.2989658987577947E-03
 9.3       0.2119568066721566E-03
 9.5       0.2133482875576413E-03
 9.7       0.0000000000000000E+00
 9.9       0.0000000000000000E+00
